user_id,Unnamed: 0,MEQ,Pittsburgh,BISBAS_bis,BISBAS_reward,BISBAS_drive,BISBAS_fun,panas_pos_10,panas_pos_14,panas_pos_18,panas_pos_22,panas_pos_9+1,panas_neg_10,panas_neg_14,panas_neg_18,panas_neg_22,panas_neg_9+1
user_1,0.0,47.0,5.0,22.0,21.0,14.0,14.0,21.0,17.0,12.0,18.0,17.0,11.0,13.0,13.0,10.0,10.0
user_10,0.0,38.0,4.0,19.0,16.0,16.0,14.0,28.0,23.0,21.0,18.0,23.0,15.0,23.0,23.0,27.0,12.0
user_11,0.0,38.0,7.0,23.0,19.0,11.0,13.0,23.0,16.0,22.0,30.0,13.0,15.0,15.0,11.0,13.0,14.0
user_12,0.0,50.0,4.0,20.0,22.0,10.0,8.0,30.0,27.0,30.0,20.0,29.0,14.0,16.0,14.0,23.0,13.0
user_13,0.0,48.0,4.0,22.0,19.0,14.0,12.0,22.0,24.0,26.0,14.0,23.0,13.0,13.0,11.0,13.0,12.0
user_14,0.0,59.0,2.0,24.0,14.0,11.0,5.0,25.0,13.0,22.0,15.0,18.0,14.0,13.0,11.0,13.0,10.0
user_15,0.0,58.0,5.0,25.0,25.0,16.0,16.0,28.0,29.0,36.0,18.0,22.0,12.0,19.0,22.0,15.0,11.0
user_16,0.0,45.0,5.0,26.0,19.0,11.0,13.0,29.0,23.0,29.0,24.0,25.0,12.0,13.0,18.0,15.0,17.0
user_17,0.0,49.0,3.0,22.0,24.0,14.0,13.0,22.0,24.0,29.0,23.0,24.0,15.0,11.0,10.0,10.0,10.0
user_18,0.0,55.0,5.0,26.0,18.0,8.0,11.0,28.0,18.0,19.0,13.0,25.0,13.0,15.0,24.0,16.0,12.0
user_19,0.0,44.0,4.0,21.0,20.0,12.0,11.0,21.0,22.0,19.0,17.0,22.0,11.0,11.0,17.0,15.0,13.0
user_2,0.0,52.0,7.0,26.0,21.0,12.0,6.0,37.0,32.0,24.0,27.0,33.0,11.0,10.0,16.0,17.0,18.0
user_20,0.0,44.0,5.0,22.0,22.0,11.0,9.0,28.0,23.0,29.0,23.0,30.0,25.0,29.0,20.0,20.0,15.0
user_21,0.0,55.0,4.0,23.0,17.0,10.0,7.0,25.0,20.0,21.0,16.0,24.0,10.0,12.0,14.0,12.0,13.0
user_22,0.0,52.0,5.0,24.0,21.0,9.0,11.0,24.0,29.0,25.0,22.0,20.0,24.0,15.0,18.0,13.0,13.0
user_3,0.0,59.0,8.0,19.0,18.0,12.0,6.0,35.0,34.0,31.0,28.0,35.0,11.0,12.0,11.0,12.0,11.0
user_4,0.0,60.0,4.0,20.0,17.0,13.0,14.0,30.0,27.0,22.0,19.0,26.0,11.0,13.0,15.0,14.0,14.0
user_5,0.0,52.0,8.0,25.0,23.0,14.0,15.0,30.0,25.0,31.0,27.0,31.0,26.0,17.0,17.0,15.0,16.0
user_6,0.0,48.0,9.0,19.0,19.0,13.0,15.0,27.0,25.0,30.0,25.0,14.0,13.0,12.0,13.0,15.0,16.0
user_7,0.0,46.0,7.0,19.0,19.0,12.0,6.0,22.0,13.0,13.0,11.0,13.0,11.0,13.0,16.0,14.0,13.0
user_8,0.0,64.0,3.0,24.0,18.0,12.0,9.0,36.0,25.0,30.0,21.0,24.0,14.0,11.0,10.0,12.0,10.0
user_9,0.0,44.0,9.0,20.0,18.0,14.0,10.0,29.0,34.0,35.0,22.0,24.0,11.0,11.0,13.0,16.0,15.0
