stat,value
day_rows,46
user_rows,22
n_users_day,22
n_users_user,22
n_unique_days,3
coverage_rr,0.9565217391304348
coverage_act,0.9347826086956522
coverage_sleep,0.45652173913043476
label_daily_stress_non_null,22
label_daily_stress_min,10.0
label_daily_stress_max,74.0
label_daily_stress_mean,32.18181818181818
label_stai1_non_null,22
label_stai1_min,24.0
label_stai1_max,54.0
label_stai1_mean,35.63636363636363
label_stai2_non_null,22
label_stai2_min,0.0
label_stai2_max,49.0
label_stai2_mean,39.5
missing_top1_col,sleep_efficiency
missing_top1_ratio,0.5434782608695652
missing_top2_col,sleep_latency
missing_top2_ratio,0.5434782608695652
missing_top3_col,sleep_awakenings_n
missing_top3_ratio,0.5434782608695652
missing_top4_col,sleep_waso
missing_top4_ratio,0.5434782608695652
missing_top5_col,sleep_tst
missing_top5_ratio,0.5434782608695652
days_per_user_min,2.0
days_per_user_max,3.0
days_per_user_mean,2.090909090909091
